BulletinID,ArticleID,PatchRequiredOn,PercentCompliant,Size,LocalizedDisplayName
,,5,99,,SQL Server 2005 Books Online (September 2007)
,,5,99,,SQL Server 2005 Books Online (September 2007)
,,5,99,,SQL Server 2005 Books Online (September 2007)
,,5,99,,SQL Server 2005 Books Online (September 2007)
,,5,99,,SQL Server 2005 Books Online (September 2007)
,,5,99,,SQL Server 2005 Books Online (September 2007)
,,5,99,,SQL Server 2005 Books Online (September 2007)
,4338818,3490,61,,2018-07 Security Monthly Quality Rollup for Windows Server 2008 R2 for x64-based Systems (KB4338818)
,4338818,978,85,,2018-07 Security Monthly Quality Rollup for Windows 7 for x64-based Systems (KB4338818)
,,5,99,,SQL Server 2005 Books Online (September 2007)
,4338821,3233,8,,2018-07 Preview of Monthly Quality Rollup for Windows Server 2008 R2 for x64-based Systems (KB4338821)
,4338821,718,56,,2018-07 Preview of Monthly Quality Rollup for Windows 7 for x64-based Systems (KB4338821)
,,5,99,,SQL Server 2005 Books Online (September 2007)
,4345459,3231,42,,2018-07 Update for Windows Server 2008 R2 for x64-based Systems (KB4345459)
,4345459,718,56,,2018-07 Update for Windows 7 for x64-based Systems (KB4345459)
,,5,99,,SQL Server 2005 Books Online (September 2007)
,4338831,5342,8,,2018-07 Preview of Monthly Quality Rollup for Windows Server 2012 R2 for x64-based Systems (KB4338831)
,,5,99,,SQL Server 2005 Books Online (September 2007)
,4345424,5341,30,,2018-07 Update for Windows Server 2012 R2 for x64-based Systems (KB4345424)
,,5,99,,SQL Server 2005 Books Online (September 2007)
,4345418,26,62,,2018-07 Cumulative Update for Windows Server 2016 for x64-based Systems (KB4345418)
,,5,99,,SQL Server 2005 Books Online (September 2007)
,,5,99,,SQL Server 2005 Books Online (September 2007)
,,5,99,,SQL Server 2005 Books Online (September 2007)
,,5,99,,SQL Server 2005 Books Online (September 2007)
,,5,99,,SQL Server 2005 Books Online (September 2007)
,,5,99,,SQL Server 2005 Books Online (September 2007)
,,5,99,,SQL Server 2005 Books Online (September 2007)
,,5,99,,SQL Server 2005 Books Online (September 2007)
,,5,99,,SQL Server 2005 Books Online (September 2007)
,,5,99,,SQL Server 2005 Books Online (September 2007)
,,5,99,,SQL Server 2005 Books Online (September 2007)
,,5,99,,SQL Server 2005 Books Online (September 2007)
,,5,99,,SQL Server 2005 Books Online (September 2007)
,4345397,57,62,,Update for Windows Server 2008 (KB4345397)
,,5,99,,SQL Server 2005 Books Online (September 2007)
