Server,RebootStatus
ABN-AHW-ADC-01.AHW.tzghosting.net,Reboot Not Required
ABN-AHW-APP-T10.AHW.tzghosting.net,Reboot Not Required
ABN-AHW-APP-T11.AHW.tzghosting.net,Reboot Not Required
ABN-AHW-APP-T12.AHW.tzghosting.net,Connection-Error
ABN-AHW-APP-T14.AHW.tzghosting.net,Reboot Not Required
ABN-AHW-APP-T15.AHW.tzghosting.net,Reboot Not Required
ABN-AHW-APP-T16.AHW.tzghosting.net,Reboot Not Required
ABN-AHW-APP-T17.AHW.tzghosting.net,Reboot Not Required
ABN-AHW-APP-T18.AHW.tzghosting.net,Reboot Not Required
ABN-AHW-BIZ-T03.AHW.tzghosting.net,Reboot Not Required
ABN-AHW-BIZ-T04.AHW.tzghosting.net,Reboot Not Required
ABN-AHW-CAE-D01.AHW.tzghosting.net,Reboot Not Required
ABN-AHW-CAE-D02.AHW.tzghosting.net,Reboot Not Required
ABN-AHW-CAE-D03.AHW.tzghosting.net,Reboot Not Required
ABN-AHW-CAE-D04.AHW.tzghosting.net,Reboot Not Required
ABN-AHW-CAE-D05.AHW.tzghosting.net,Reboot Not Required
ABN-AHW-CAE-T09.AHW.tzghosting.net,Reboot Not Required
ABN-AHW-CAE-T10.AHW.tzghosting.net,Reboot Not Required
ABN-AHW-CAE-T11.AHW.tzghosting.net,Reboot Not Required
ABN-AHW-CAE-T12.AHW.tzghosting.net,Reboot Not Required
ABN-AHW-CAE-T13.AHW.tzghosting.net,Reboot Not Required
ABN-AHW-CAE-T14.AHW.tzghosting.net,Reboot Not Required
ABN-AHW-CAE-T15.AHW.tzghosting.net,Reboot Not Required
ABN-AHW-CSF-01.AHW.tzghosting.net,Reboot Not Required
ABN-AHW-CSF-02.AHW.tzghosting.net,Reboot Not Required
ABN-AHW-HUB-T03.AHW.tzghosting.net,Reboot Not Required
ABN-AHW-HUB-T04.AHW.tzghosting.net,Reboot Not Required
ABN-AHW-IHM-D01.AHW.tzghosting.net,Reboot Not Required
ABN-AHW-IHM-T05.AHW.tzghosting.net,Reboot Not Required
ABN-AHW-SQL-99.AHW.tzghosting.net,Reboot Not Required
ABN-AHW-SQL-D03.AHW.tzghosting.net,Reboot Not Required
ABN-AHW-SQL-D04.AHW.tzghosting.net,Reboot Not Required
ABN-AHW-SQL-D05.AHW.tzghosting.net,Reboot Not Required
ABN-AHW-SQL-T10.AHW.tzghosting.net,Reboot Not Required
ABN-AHW-SQL-T11.AHW.tzghosting.net,Reboot Not Required
ABN-AHW-SQL-T12.AHW.tzghosting.net,Reboot Not Required
ABN-AHW-SQL-T13.AHW.tzghosting.net,Reboot Not Required
