DeploymentName,DeviceCollection,AvailableTime, DeadLineTime,Status
SUG-Aug-2018 on MW NON PROD Infra Enable Servers,MW NON PROD Infra Enable Servers,08/17/2018 02:00:00,08/23/2018 01:05:00,Deployed
SUG-Aug-2018 on NON PROD STAGGER 1,NON PROD STAGGER 1,08/17/2018 02:00:00,08/23/2018 01:05:00,Deployed
SUG-Aug-2018 on NON PROD STAGGER 2,NON PROD STAGGER 2,08/17/2018 04:00:00,08/23/2018 01:05:00,Deployed
SUG-Aug-2018 on NON PROD STAGGER 3,NON PROD STAGGER 3,08/17/2018 06:00:00,08/23/2018 01:05:00,Deployed
SUG-Aug-2018 on NON PROD STAGGER 4,NON PROD STAGGER 4,08/17/2018 08:00:00,08/23/2018 01:05:00,Deployed
SUG-Aug-2018 on MW NON PROD REGULAR SERVERS,MW NON PROD REGULAR SERVERS,08/17/2018 10:00:00,08/23/2018 01:05:00,Deployed
SUG-Aug-2018 on MW Management Servers,MW Management Servers,08/19/2018 09:00:00,08/19/2018 21:05:00,Deployed
SUG-Aug-2018 on DEMO Non Prod Servers,DEMO Non Prod Servers,08/20/2018 02:00:00,08/24/2018 21:05:00,Deployed
SUG-Aug-2018 on Windows 7 Prod Servers,Windows 7 Prod Servers,08/20/2018 04:00:00,08/28/2018 21:05:00,Deployed
SUG-Patches-2016 on MW NON PROD Infra Enable Servers,MW NON PROD Infra Enable Servers,08/17/2018 02:00:00,08/23/2018 01:05:00,Deployed
SUG-Patches-2017 on MW NON PROD Infra Enable Servers,MW NON PROD Infra Enable Servers,08/17/2018 02:00:00,08/23/2018 01:05:00,Deployed
SUG-Patches-2018 on MW NON PROD Infra Enable Servers,MW NON PROD Infra Enable Servers,08/17/2018 02:00:00,08/23/2018 01:05:00,Deployed
SUG-Patches-2016 on NON PROD STAGGER 1,NON PROD STAGGER 1,08/17/2018 02:00:00,08/23/2018 01:05:00,Deployed
SUG-Patches-2017 on NON PROD STAGGER 1,NON PROD STAGGER 1,08/17/2018 02:00:00,08/23/2018 01:05:00,Deployed
SUG-Patches-2018 on NON PROD STAGGER 1,NON PROD STAGGER 1,08/17/2018 02:00:00,08/23/2018 01:05:00,Deployed
SUG-Patches-2016 on NON PROD STAGGER 2,NON PROD STAGGER 2,08/17/2018 04:00:00,08/23/2018 01:05:00,Deployed
SUG-Patches-2017 on NON PROD STAGGER 2,NON PROD STAGGER 2,08/17/2018 04:00:00,08/23/2018 01:05:00,Deployed
SUG-Patches-2018 on NON PROD STAGGER 2,NON PROD STAGGER 2,08/17/2018 04:00:00,08/23/2018 01:05:00,Deployed
SUG-Patches-2016 on NON PROD STAGGER 3,NON PROD STAGGER 3,08/17/2018 06:00:00,08/23/2018 01:05:00,Deployed
SUG-Patches-2017 on NON PROD STAGGER 3,NON PROD STAGGER 3,08/17/2018 06:00:00,08/23/2018 01:05:00,Deployed
SUG-Patches-2018 on NON PROD STAGGER 3,NON PROD STAGGER 3,08/17/2018 06:00:00,08/23/2018 01:05:00,Deployed
SUG-Patches-2016 on NON PROD STAGGER 4,NON PROD STAGGER 4,08/17/2018 08:00:00,08/23/2018 01:05:00,Deployed
SUG-Patches-2017 on NON PROD STAGGER 4,NON PROD STAGGER 4,08/17/2018 08:00:00,08/23/2018 01:05:00,Deployed
SUG-Patches-2018 on NON PROD STAGGER 4,NON PROD STAGGER 4,08/17/2018 08:00:00,08/23/2018 01:05:00,Deployed
SUG-Patches-2016 on MW NON PROD REGULAR SERVERS,MW NON PROD REGULAR SERVERS,08/17/2018 10:00:00,08/23/2018 01:05:00,Deployed
SUG-Patches-2017 on MW NON PROD REGULAR SERVERS,MW NON PROD REGULAR SERVERS,08/17/2018 10:00:00,08/23/2018 01:05:00,Deployed
SUG-Patches-2018 on MW NON PROD REGULAR SERVERS,MW NON PROD REGULAR SERVERS,08/17/2018 10:00:00,08/23/2018 01:05:00,Deployed
SUG-Patches-2016 on MW Management Servers,MW Management Servers,08/19/2018 09:00:00,08/19/2018 21:05:00,Deployed
SUG-Patches-2017 on MW Management Servers,MW Management Servers,08/19/2018 09:00:00,08/19/2018 21:05:00,Deployed
SUG-Patches-2018 on MW Management Servers,MW Management Servers,08/19/2018 09:00:00,08/19/2018 21:05:00,Deployed
SUG-Patches-2016 on DEMO Non Prod Servers,DEMO Non Prod Servers,08/20/2018 02:00:00,08/24/2018 21:05:00,Deployed
SUG-Patches-2017 on DEMO Non Prod Servers,DEMO Non Prod Servers,08/20/2018 02:00:00,08/24/2018 21:05:00,Deployed
SUG-Patches-2018 on DEMO Non Prod Servers,DEMO Non Prod Servers,08/20/2018 02:00:00,08/24/2018 21:05:00,Deployed
SUG-Patches-2016 on Windows 7 Prod Servers,Windows 7 Prod Servers,08/20/2018 04:00:00,08/28/2018 21:05:00,Deployed
SUG-Patches-2017 on Windows 7 Prod Servers,Windows 7 Prod Servers,08/20/2018 04:00:00,08/28/2018 21:05:00,Deployed
SUG-Patches-2018 on Windows 7 Prod Servers,Windows 7 Prod Servers,08/20/2018 04:00:00,08/28/2018 21:05:00,Deployed
